filename,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en]
Voor_Sisi_For_Sisi.pdf,"Vrede, Dorus",,2001,,"Dorus Vrede, ""For Sisi,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/3ebw-jjhk",https://doi.org/10.33682/3ebw-jjhk,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,For Sisi,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Do_You_Remember.pdf,"Vrede, Dorus",,2001,,"Dorus Vrede, ""Do You Remember,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/sfqx-hq0d",https://doi.org/10.33682/sfqx-hq0d,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Do You Remember,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
I_Did_Not_Follow.pdf,"Vrede, Dorus",,2001,,"Dorus Vrede, ""I Did Not Follow,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/qdus-10n4",https://doi.org/10.33682/qdus-10n4,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,I Did Not Follow,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
In_The_Depth_Of_The_Night.pdf,"Vrede, Dorus",,2001,,"Dorus Vrede, ""In The Depth Of The Night,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/zz6u-8q15",https://doi.org/10.33682/zz6u-8q15,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,In The Depth Of The Night,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Sweet_Lianas.pdf,"Zobel, Joseph",,2001,,"Joseph Zobel, ""Sweet Lianas / Lanes Douches,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/5jps-dy9t",https://doi.org/10.33682/5jps-dy9t,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sweet Lianas / Lanes Douches,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Koromantyn_Girl.pdf,"Spalding, June",,2001,,"June Spalding, ""Koromantyn Girl,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/zh6e-svs2",https://doi.org/10.33682/zh6e-svs2,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Koromantyn Girl,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Silk_Cotton_Tree.pdf,"Simmons-McDonald, Hazel",,2001,,"Hazel Simmons-McDonald, ""Silk Cotton Tree,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/rpdt-upzb",https://doi.org/10.33682/rpdt-upzb,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Silk Cotton Tree,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Dream_Season.pdf,"Simmons-McDonald, Hazel",,2001,,"Hazel Simmons-McDonald, ""Dream Season,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/nxf4-3c76",https://doi.org/10.33682/nxf4-3c76,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Dream Season,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Next-door_Patient.pdf,"Ecury, Nydia",,2001,,"Nydia Ecury, ""Next-Door Patient / Pashent aki banda,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/9sn9-syy6",https://doi.org/10.33682/9sn9-syy6,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Next-Door Patient / Pashent aki banda,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
My_Love_A_Ribbon_In_The_Wind.pdf,"Ecury, Nydia",,2001,,"Nydia Ecury, ""My Love, A Ribbon In The Wind/ Mi Amor, Un Sinta,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/uyq4-zvud",https://doi.org/10.33682/uyq4-zvud,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"My Love, A Ribbon In The Wind/ Mi Amor, Un Sinta",Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Title_Deed.pdf,"Sekou, Lasana M.",,2001,,"Lasana M. Sekou, ""Title Deed,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/9aq8-4fkc",https://doi.org/10.33682/9aq8-4fkc,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Title Deed,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
Visit_and_Fellowship.pdf,"Sekou, Lasana M.",,2001,,"Lasana M. Sekou, ""Visit and Fellowship,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/4yam-1x2g",https://doi.org/10.33682/4yam-1x2g,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Visit and Fellowship,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1
