filename,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en]
Fillette.pdf,"Georges, Danielle Legros",,2002,,"Danielle Legros Georges, ""Fillette,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/4fyb-eb7d",https://doi.org/10.33682/4fyb-eb7d,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Fillette,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Anacaona.pdf,"Georges, Danielle Legros",,2002,,"Danielle Legros Georges, ""Anacaona,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/fnm8-0det",https://doi.org/10.33682/fnm8-0det,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Anacaona,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Parrot_Music_Box.pdf,"Murphy, Y. C.",,2002,,"Y. C. Murphy, ""Parrot Music Box,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/ch4k-axqd",https://doi.org/10.33682/ch4k-axqd,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Parrot Music Box,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Late_At_Night_Knitting.pdf,"Murphy, Y. C.",,2002,,"Y. C. Murphy, ""Late At Night Knitting,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/y3gn-6s41",https://doi.org/10.33682/y3gn-6s41,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Late At Night Knitting,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Tomatoes.pdf,"Campbell, Christian A.",,2002,,"Christian A. Campbell, ""Tomatoes,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/55z4-jkx9",https://doi.org/10.33682/55z4-jkx9,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Tomatoes,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Before_Electricity.pdf,"Bishop, Jacqueline",,2002,,"Jacqueline Bishop, ""Before Electricity,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/jtjt-5336",https://doi.org/10.33682/jtjt-5336,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Before Electricity,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Pa.pdf,"Bishop, Jacqueline",,2002,,"Jacqueline Bishop, ""Pa,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/cjqa-3b68",https://doi.org/10.33682/cjqa-3b68,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Pa,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Those_Were_My_Young_Green_Days.pdf,"Bishop, Jacqueline",,2002,,"Jacqueline Bishop, ""Those Were My Young Green Days,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/6e9r-ena0",https://doi.org/10.33682/6e9r-ena0,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Those Were My Young Green Days,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Full_Bloom.pdf,"Bishop, Jacqueline",,2002,,"Jacqueline Bishop, ""Full Bloom,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/2xvg-0s12",https://doi.org/10.33682/2xvg-0s12,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Full Bloom,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Calling_Me_Back_Home.pdf,"Bishop, Jacqueline",,2002,,"Jacqueline Bishop, ""Calling Me Back Home,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/4egs-01fe",https://doi.org/10.33682/4egs-01fe,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Calling Me Back Home,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Yemaya.pdf,"Brennan, Susan",,2002,,"Susan Brennan, ""Yemaya,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/shcg-pw2e",https://doi.org/10.33682/shcg-pw2e,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Yemaya,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
Caliban_Calypso.pdf,"Mordecai, Pamela",,2002,,"Pamela Mordecai, ""Caliban Calypso,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/0gab-z90f",https://doi.org/10.33682/0gab-z90f,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Caliban Calypso,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2
