filename,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en]
0401001.pdf,"McLean, Dolace",,2006,,"Dolace McLean, ""And the Excitement Continues...,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/h5hj-uzw0",https://doi.org/10.33682/h5hj-uzw0,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,And the Excitement Continues...,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401103.pdf,"Calderaro, Michela A.",,2006,,"Michela A. Calderaro, ""An Interview with Lorna Goodison,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/anr5-8gzt",https://doi.org/10.33682/anr5-8gzt,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,An Interview with Lorna Goodison,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401087.pdf,"Mahabir, Dr. Kumar",,2006,,"Dr. Kumar Mahabir, ""East Indians/South Asians in the Caribbean,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/qf4k-87a3",https://doi.org/10.33682/qf4k-87a3,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,East Indians/South Asians in the Caribbean,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401022.pdf,"Edgell, Zee",,2006,,"Zee Edgell, ""My Father and the Confederate Soldier,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/axjf-5tkn",https://doi.org/10.33682/axjf-5tkn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,My Father and the Confederate Soldier,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401047.pdf,"Dabydeen, Cyril",,2006,,"Cyril Dabydeen, ""See How They Run,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/wur3-rtsc",https://doi.org/10.33682/wur3-rtsc,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,See How They Run,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401028.pdf,"Ombre, Ellen",,2006,,"Ellen Ombre, ""Shreds,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/e1bg-rqpk",https://doi.org/10.33682/e1bg-rqpk,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Shreds,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401123.pdf,"Ombre, Ellen",,2006,,"Ellen Ombre, ""Amsterdam,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/vt2h-w2v9",https://doi.org/10.33682/vt2h-w2v9,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Amsterdam,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401101.pdf,"Fabius, Carine",,2006,,"Carine Fabius, ""Missive From A California Haitian Living With A Frenchman,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/a51u-8j58",https://doi.org/10.33682/a51u-8j58,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Missive From A California Haitian Living With A Frenchman,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401007.pdf,"Cooper-Clark, Diana",,2006,,"Diana Cooper-Clark, ""Visual Journeys: The Art of Anna Ruth Henriques,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/r57m-kdjf",https://doi.org/10.33682/r57m-kdjf,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Visual Journeys: The Art of Anna Ruth Henriques,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
0401107.pdf,"Alexis, Gérald",,2006,,"Gérald Alexis, ""Marie-Therese Dupoux: Marithou,"" Calabash: a Journal of Caribbean Arts and Letters 4, no. 1 (Spring-Summer 2006), https://doi.org/10.33682/kpyj-80cz",https://doi.org/10.33682/kpyj-80cz,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Marie-Therese Dupoux: Marithou,Article,1,Calabash: a Journal of Caribbean Arts and Letters,4
